コード,銘柄名,市場,現在値,前日比(%),時価総額(百万円),時価総額(億円),時価総額(兆円),ランク
3302,帝国繊維,東P,3255,+15.0(+0.46%),"89,787",898,0.90,05_500億以上~1000億未満
3306,日本製麻,東S,608,+6.0(+1.00%),"2,683",27,0.03,07_100億未満
330A,ＴａｌｅｎｔＸ,東G,402,-12.0(-2.90%),"2,317",23,0.02,07_100億未満
3315,日本コークス工業,東P,96,-5.0(-4.95%),"29,026",290,0.29,06_100億以上~500億未満
3317,フライングガーデン,東S,1350,-1.0(-0.07%),"3,913",39,0.04,07_100億未満
331A,メディックス,東S,472,+1.0(+0.21%),"3,814",38,0.04,07_100億未満
3320,クロスプラス,東S,1303,-6.0(-0.46%),"10,058",101,0.10,06_100億以上~500億未満
3321,ミタチ産業,東S,1799,-10.0(-0.55%),"14,341",143,0.14,06_100億以上~500億未満
3323,レカム,東S,70,-3.0(-4.11%),"5,787",58,0.06,07_100億未満
3326,ランシステム,東S,578,-5.0(-0.86%),"2,532",25,0.03,07_100億未満
3329,東和フードサービス,東S,1994,+0.0(+0.00%),"16,324",163,0.16,06_100億以上~500億未満
332A,ミーク,東G,1008,-38.0(-3.63%),"11,572",116,0.12,06_100億以上~500億未満
3333,あさひ,東P,1253,+13.0(+1.05%),"32,880",329,0.33,06_100億以上~500億未満
3349,コスモス薬品,東P,5761,-27.0(-0.47%),"460,889","4,609",4.61,04_1000億以上~5000億未満
334A,ビジュアル・プロセッシング・ジ,東G,-,- (-%),"2,971",30,0.03,07_100億未満
3350,メタプラネット,東S,246,-8.0(-3.15%),"315,196","3,152",3.15,04_1000億以上~5000億未満
3352,バッファロー,東S,1652,-28.0(-1.67%),"3,875",39,0.04,07_100億未満
3353,メディカル一光グループ,東S,2719,+19.0(+0.70%),"10,251",103,0.10,06_100億以上~500億未満
3355,クリヤマＨＬＤＧ,東S,1597,+50.0(+3.23%),"35,613",356,0.36,06_100億以上~500億未満
3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａ,東S,89,+0.0(+0.00%),"3,318",33,0.03,07_100億未満
3359,ｃｏｔｔａ,東G,489,-6.0(-1.21%),"5,488",55,0.05,07_100億未満
335A,ミライロ,東G,376,+13.0(+3.58%),"4,144",41,0.04,07_100億未満
3360,シップヘルスケアＨＬＤＧ,東P,2010,-15.5(-0.77%),"189,644","1,896",1.90,04_1000億以上~5000億未満
3361,トーエル,東S,843,-5.0(-0.59%),"17,606",176,0.18,06_100億以上~500億未満
336A,ダイナミックマッププラットフォ,東G,880,+1.0(+0.11%),"20,805",208,0.21,06_100億以上~500億未満
3370,フジタコーポレーション,東S,505,-11.0(-2.13%),"1,733",17,0.02,07_100億未満
3371,ソフトクリエイトＨＬＤＧ,東P,1652,-5.0(-0.30%),"45,513",455,0.46,06_100億以上~500億未満
3372,関門海,東S,219,+0.0(+0.00%),"3,066",31,0.03,07_100億未満
3374,内外テック,東S,2988,-67.0(-2.19%),"10,617",106,0.11,06_100億以上~500億未満
3375,ＺＯＡ,東S,1632,-18.0(-1.09%),"2,373",24,0.02,07_100億未満
3377,バイク王＆カンパニー,東S,370,+0.0(+0.00%),"5,667",57,0.06,07_100億未満
3382,セブン＆アイＨＬＤＧ,東P,1849,-38.5(-2.04%),"4,815,824","48,158",48.16,02_1兆以上~10兆未満
3386,コスモ・バイオ,東S,1225,+6.0(+0.49%),"7,409",74,0.07,07_100億未満
3387,クリエイト・レストランツＨＬＤ,東P,690,-16.0(-2.27%),"293,684","2,937",2.94,04_1000億以上~5000億未満
3388,明治電機工業,東P,2035,-37.0(-1.79%),"25,978",260,0.26,06_100億以上~500億未満
338A,ＺｅｎｍｕＴｅｃｈ,東G,2101,-69.0(-3.18%),"5,726",57,0.06,07_100億未満
3391,ツルハＨＬＤＧ,東P,1963,-9.5(-0.48%),"891,905","8,919",8.92,03_5000億以上~1兆未満
3392,デリカフーズＨＬＤＧ,東S,801,-8.0(-0.99%),"13,114",131,0.13,06_100億以上~500億未満
3393,スターティアＨＬＤＧ,東P,2829,-51.0(-1.77%),"28,970",290,0.29,06_100億以上~500億未満
3395,サンマルクＨＬＤＧ,東P,2414,-23.0(-0.94%),"55,380",554,0.55,05_500億以上~1000億未満
3396,フェリシモ,東S,830,-1.0(-0.12%),"7,921",79,0.08,07_100億未満
3397,トリドールＨＬＤＧ,東P,3731,-93.0(-2.43%),"331,086","3,311",3.31,04_1000億以上~5000億未満
3399,丸千代山岡家,東S,3085,+15.0(+0.49%),"62,048",620,0.62,05_500億以上~1000億未満
339A,プログレス・テクノロジーズ,東G,967,+0.0(+0.00%),"7,565",76,0.08,07_100億未満
3401,帝人,東P,1626,-16.0(-0.97%),"321,873","3,219",3.22,04_1000億以上~5000億未満
3402,東レ,東P,1105.5,-46.5(-4.04%),"1,663,204","16,632",16.63,02_1兆以上~10兆未満
3405,クラレ,東P,1636.5,-24.0(-1.45%),"494,442","4,944",4.94,04_1000億以上~5000億未満
3407,旭化成,東P,1786,+28.5(+1.62%),"2,439,233","24,392",24.39,02_1兆以上~10兆未満
3409,北紡,東S,95,-3.0(-3.06%),"3,020",30,0.03,07_100億未満
340A,ジグザグ,東G,345,-10.0(-2.82%),"2,676",27,0.03,07_100億未満
3415,ＴＯＫＹＯ　ＢＡＳＥ,東P,332,-11.0(-3.21%),"14,595",146,0.15,06_100億以上~500億未満
3416,ピクスタ,東S,790,+4.0(+0.51%),"1,814",18,0.02,07_100億未満
3417,大木ヘルスケアＨＬＤＧ,東S,1068,+12.0(+1.14%),"15,029",150,0.15,06_100億以上~500億未満
3418,バルニバービ,東G,1094,-3.0(-0.27%),"11,993",120,0.12,06_100億以上~500億未満
341A,トヨコー,東G,2074,+54.0(+2.67%),"28,244",282,0.28,06_100億以上~500億未満
3420,ケー・エフ・シー,東S,1505,+1.0(+0.07%),"11,104",111,0.11,06_100億以上~500億未満
3421,稲葉製作所,東S,1690,-4.0(-0.24%),"28,768",288,0.29,06_100億以上~500億未満
3422,Ｊ−ＭＡＸ,東S,489,+0.0(+0.00%),"5,798",58,0.06,07_100億未満
3423,エスイー,東S,272,+1.0(+0.37%),"8,502",85,0.09,07_100億未満
3426,アトムリビンテック,東S,-,- (-%),"5,373",54,0.05,07_100億未満
3431,宮地エンジニアリンググループ,東P,1484,+15.0(+1.02%),"41,074",411,0.41,06_100億以上~500億未満
3433,トーカロ,東P,3145,+5.0(+0.16%),"192,474","1,925",1.92,04_1000億以上~5000億未満
3434,アルファＣｏ,東S,1199,+0.0(+0.00%),"12,230",122,0.12,06_100億以上~500億未満
3435,サンコーテクノ,東S,1338,-3.0(-0.22%),"11,701",117,0.12,06_100億以上~500億未満
3436,ＳＵＭＣＯ,東P,4366,-93.0(-2.09%),"1,528,864","15,289",15.29,02_1兆以上~10兆未満
3437,特殊電極,東S,2760,+0.0(+0.00%),"4,422",44,0.04,07_100億未満
3439,三ツ知,東S,669,+14.0(+2.14%),"3,548",35,0.04,07_100億未満
343A,ＩＡＣＥトラベル,東S,1173,+2.0(+0.17%),"5,593",56,0.06,07_100億未満
3440,日創グループ,東S,925,+4.0(+0.43%),"6,320",63,0.06,07_100億未満
3441,山王,東S,2780,+25.0(+0.91%),"13,900",139,0.14,06_100億以上~500億未満
3443,川田テクノロジーズ,東P,1212,-1.0(-0.08%),"63,536",635,0.64,05_500億以上~1000億未満
3444,菊池製作所,東S,1050,-15.0(-1.41%),"12,955",130,0.13,06_100億以上~500億未満
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,東P,7610,+360.0(+4.97%),"202,406","2,024",2.02,04_1000億以上~5000億未満
3446,ジェイテックコーポレーション,東S,1661,-50.0(-2.92%),"9,809",98,0.10,07_100億未満
3447,信和,東S,868,-3.0(-0.34%),"12,241",122,0.12,06_100億以上~500億未満
3449,テクノフレックス,東S,7940,+630.0(+8.62%),"169,598","1,696",1.70,04_1000億以上~5000億未満
3452,ビーロット,東S,1349,-14.0(-1.03%),"27,024",270,0.27,06_100億以上~500億未満
3454,ファーストブラザーズ,東S,1193,-9.0(-0.75%),"17,233",172,0.17,06_100億以上~500億未満
3457,Ａｎｄ　ＤｏＨＬＤＧ,東P,994,-4.0(-0.40%),"19,849",198,0.20,06_100億以上~500億未満
3461,パルマ,東S,558,-2.0(-0.36%),"3,775",38,0.04,07_100億未満
3465,ケイアイスター不動産,東P,3575,+5.0(+0.14%),"113,460","1,135",1.13,04_1000億以上~5000億未満
3467,アグレ都市デザイン,東S,2381,-44.0(-1.81%),"13,700",137,0.14,06_100億以上~500億未満
3469,デュアルタップ,東S,1030,+11.0(+1.08%),"4,510",45,0.05,07_100億未満
3474,Ｇ―ＦＡＣＴＯＲＹ,東G,535,+0.0(+0.00%),"3,659",37,0.04,07_100億未満
3475,グッドコムアセット,東P,1333,-21.0(-1.55%),"40,714",407,0.41,06_100億以上~500億未満
3477,フォーライフ,東G,-,- (-%),"3,144",31,0.03,07_100億未満
3479,ＴＫＰ,東G,1473,-17.0(-1.14%),"62,619",626,0.63,05_500億以上~1000億未満
3480,ジェイ・エス・ビー,東P,6530,-210.0(-3.12%),"143,407","1,434",1.43,04_1000億以上~5000億未満
3482,ロードスターキャピタル,東P,2697,-45.0(-1.64%),"57,834",578,0.58,05_500億以上~1000億未満
3484,イノベーションＨＬＤＧ,東S,1054,+4.0(+0.38%),"18,629",186,0.19,06_100億以上~500億未満
3486,グローバル・リンク・マネジメン,東P,1689,-21.0(-1.23%),"27,098",271,0.27,06_100億以上~500億未満
3489,フェイスネットワーク,東S,682,-11.0(-1.59%),"20,378",204,0.20,06_100億以上~500億未満
3490,アズ企画設計,東S,2832,-30.0(-1.05%),"4,271",43,0.04,07_100億未満
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,東G,1468,-5.0(-0.34%),"60,266",603,0.60,05_500億以上~1000億未満
3494,マリオン,東S,324,+1.0(+0.31%),"2,596",26,0.03,07_100億未満
3495,香陵住販,東S,2390,+0.0(+0.00%),"6,649",66,0.07,07_100億未満
3496,アズーム,東P,3965,-55.0(-1.37%),"48,911",489,0.49,06_100億以上~500億未満
3498,霞ヶ関キャピタル,東P,5550,-260.0(-4.48%),"136,463","1,365",1.36,04_1000億以上~5000億未満
3501,ＳＵＭＩＮＯＥ,東P,1075,+1.0(+0.09%),"16,517",165,0.17,06_100億以上~500億未満
350A,デジタルグリッド,東G,791,-25.0(-3.06%),"32,441",324,0.32,06_100億以上~500億未満
3512,日本フエルト,東S,864,+42.0(+5.11%),"15,848",158,0.16,06_100億以上~500億未満
3513,イチカワ,東S,2998,+38.0(+1.28%),"14,892",149,0.15,06_100億以上~500億未満
3521,テルマー湯ＨＬＤＧ,東S,145,+0.0(+0.00%),"3,838",38,0.04,07_100億未満
3524,日東製網,東S,1438,+3.0(+0.21%),"3,746",37,0.04,07_100億未満
3529,アツギ,東S,1003,-16.0(-1.57%),"17,372",174,0.17,06_100億以上~500億未満
352A,ＬＯＩＶＥ,東G,504,+20.0(+4.13%),"6,500",65,0.07,07_100億未満
3536,アクサスＨＬＤＧ,東S,130,+2.0(+1.56%),"3,942",39,0.04,07_100億未満
3537,昭栄薬品,東S,1600,-5.0(-0.31%),"5,727",57,0.06,07_100億未満
3538,ウイルプラスＨＬＤＧ,東S,914,+2.0(+0.22%),"9,468",95,0.09,07_100億未満
3539,ＪＭ　ＨＬＤＧ,東P,1234,-11.0(-0.88%),"62,883",629,0.63,05_500億以上~1000億未満
3542,ベガコーポレーション,東G,1375,+13.0(+0.95%),"14,781",148,0.15,06_100億以上~500億未満
3543,コメダＨＬＤＧ,東P,2673,-55.0(-2.02%),"123,683","1,237",1.24,04_1000億以上~5000億未満
3544,サツドラＨＬＤＧ,東S,830,+9.0(+1.10%),"11,816",118,0.12,06_100億以上~500億未満
3546,アレンザＨＬＤＧ,東P,1453,+0.0(+0.00%),"43,871",439,0.44,06_100億以上~500億未満
3547,ユニシアＨＬＤＧ,東S,1556,-25.0(-1.58%),"17,212",172,0.17,06_100億以上~500億未満
3548,バロックジャパンリミテッド,東P,713,+0.0(+0.00%),"26,150",262,0.26,06_100億以上~500億未満
3549,クスリのアオキＨＬＤＧ,東P,3562,-4.0(-0.11%),"340,588","3,406",3.41,04_1000億以上~5000億未満
3550,スタジオアタオ,東G,220,+1.0(+0.46%),"3,088",31,0.03,07_100億未満
3551,ダイニック,東S,1309,+7.0(+0.54%),"11,133",111,0.11,06_100億以上~500億未満
3553,共和レザー,東S,846,-6.0(-0.70%),"20,727",207,0.21,06_100億以上~500億未満
3556,リネットジャパングループ,東G,777,-30.0(-3.72%),"11,421",114,0.11,06_100億以上~500億未満
3557,ユナイテッド＆コレクティブ,東G,523,+19.0(+3.77%),"2,591",26,0.03,07_100億未満
3558,ジェイドグループ,東G,1598,-23.0(-1.42%),"18,357",184,0.18,06_100億以上~500億未満
3559,ピーバンドットコム,東S,420,+1.0(+0.24%),"2,097",21,0.02,07_100億未満
3560,ほぼ日,東S,4115,+55.0(+1.35%),"9,554",96,0.10,07_100億未満
3561,力の源ＨＬＤＧ,東P,1461,+11.0(+0.76%),"44,295",443,0.44,06_100億以上~500億未満
3562,Ｎｏ．１,東S,1428,-31.0(-2.12%),"10,046",100,0.10,06_100億以上~500億未満
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭ,東P,9841,-604.0(-5.78%),"1,142,237","11,422",11.42,02_1兆以上~10兆未満
3565,アセンテック,東S,487,-3.0(-0.61%),"21,301",213,0.21,06_100億以上~500億未満
3566,ユニフォームネクスト,東G,923,-5.0(-0.54%),"9,344",93,0.09,07_100億未満
3569,セーレン,東P,3365,-40.0(-1.17%),"217,492","2,175",2.17,04_1000億以上~5000億未満
3571,ソトー,東S,694,-2.0(-0.29%),"9,392",94,0.09,07_100億未満
3577,東海染工,東S,927,-6.0(-0.64%),"3,350",34,0.03,07_100億未満
3580,小松マテーレ,東P,688,-8.0(-1.15%),"26,998",270,0.27,06_100億以上~500億未満
3583,オーベクス,東S,1156,-15.0(-1.28%),"3,575",36,0.04,07_100億未満
3591,ワコールＨＬＤＧ,東P,4570,+46.0(+1.02%),"239,925","2,399",2.40,04_1000億以上~5000億未満
3597,自重堂,東S,10050,-20.0(-0.20%),"28,973",290,0.29,06_100億以上~500億未満
3598,山喜,東S,158,-1.0(-0.63%),"2,362",24,0.02,07_100億未満
3600,フジックス,東S,-,- (-%),"2,452",25,0.02,07_100億未満
3607,クラウディアＨＬＤＧ,東S,350,-2.0(-0.57%),"3,391",34,0.03,07_100億未満
3608,ＴＳＩ　ＨＬＤＧ,東P,1108,-32.0(-2.81%),"70,290",703,0.70,05_500億以上~1000億未満
3611,マツオカコーポレーション,東S,2260,-13.0(-0.57%),"23,942",239,0.24,06_100億以上~500億未満
3612,ワールド,東P,1477,+9.0(+0.61%),"113,936","1,139",1.14,04_1000億以上~5000億未満
3622,ネットイヤーグループ,東S,501,-6.0(-1.18%),"3,506",35,0.04,07_100億未満
3623,ビリングシステム,東G,981,-2.0(-0.20%),"6,440",64,0.06,07_100億未満
3624,アクセルマーク,東G,73,-8.0(-9.88%),"1,483",15,0.01,07_100億未満
3625,テックファームＨＬＤＧ,東G,586,-3.0(-0.51%),"4,404",44,0.04,07_100億未満
3626,ＴＩＳ,東P,3379,+45.0(+1.35%),"771,764","7,718",7.72,03_5000億以上~1兆未満
3627,テクミラＨＬＤＧ,東S,267,-7.0(-2.55%),"3,396",34,0.03,07_100億未満
3628,データホライゾン,東G,632,+9.0(+1.44%),"8,034",80,0.08,07_100億未満
3632,グリーＨＬＤＧ,東P,397,-13.0(-3.17%),"71,361",714,0.71,05_500億以上~1000億未満
3633,ＧＭＯペパボ,東S,1645,-35.0(-2.08%),"8,996",90,0.09,07_100億未満
3634,ソケッツ,東S,564,-21.0(-3.59%),"1,397",14,0.01,07_100億未満
3635,コーエーテクモＨＬＤＧ,東P,1450.5,-24.5(-1.66%),"487,509","4,875",4.88,04_1000億以上~5000億未満
3636,三菱総合研究所,東P,4665,-60.0(-1.27%),"74,845",748,0.75,05_500億以上~1000億未満
3639,ボルテージ,東S,214,-15.0(-6.55%),"1,413",14,0.01,07_100億未満
3640,電算,東S,2252,+7.0(+0.31%),"13,145",131,0.13,06_100億以上~500億未満
3641,パピレス,東S,904,-1.0(-0.11%),"9,335",93,0.09,07_100億未満
3645,メディカルネット,東G,243,+2.0(+0.83%),"2,618",26,0.03,07_100億未満
3646,駅探,東S,311,-7.0(-2.20%),"1,872",19,0.02,07_100億未満
3647,アスリナ,東S,116,-1.0(-0.85%),"2,577",26,0.03,07_100億未満
3648,ＡＧＳ,東S,1016,-12.0(-1.17%),"17,433",174,0.17,06_100億以上~500億未満
3649,ファインデックス,東P,816,+11.0(+1.37%),"21,713",217,0.22,06_100億以上~500億未満
3652,ディジタルメディアプロ,東G,3245,+210.0(+6.92%),"10,230",102,0.10,06_100億以上~500億未満
3653,モルフォ,東G,633,-6.0(-0.94%),"3,487",35,0.03,07_100億未満
3656,ＫＬａｂ,東P,235,+7.0(+3.07%),"19,108",191,0.19,06_100億以上~500億未満
3657,ポールトゥウィンＨＬＤＧ,東P,287,-8.0(-2.71%),"10,951",110,0.11,06_100億以上~500億未満
3659,ネクソン,東P,2205.5,-137.0(-5.85%),"1,748,701","17,487",17.49,02_1兆以上~10兆未満
365A,伊澤タオル,東S,712,-8.0(-1.11%),"7,120",71,0.07,07_100億未満
3660,アイスタイル,東P,376,-12.0(-3.09%),"38,601",386,0.39,06_100億以上~500億未満
3661,エムアップＨＬＤＧ,東P,634,-18.0(-2.76%),"46,277",463,0.46,06_100億以上~500億未満
3662,エイチームＨＬＤＧ,東P,925,-12.0(-1.28%),"17,400",174,0.17,06_100億以上~500億未満
3663,セルシス,東P,1608,-43.0(-2.60%),"55,912",559,0.56,05_500億以上~1000億未満
3664,ＷＩＺＥ,東G,21,-2.0(-8.70%),"1,777",18,0.02,07_100億未満
3665,エニグモ,東P,350,-1.0(-0.28%),"14,925",149,0.15,06_100億以上~500億未満
3667,ｅｎｉｓｈ,東S,35,+4.0(+12.90%),"1,596",16,0.02,07_100億未満
3668,コロプラ,東P,379,-5.0(-1.30%),"49,401",494,0.49,06_100億以上~500億未満
366A,ウェルネス・コミュニケーション,東G,1038,-1.0(-0.10%),"12,937",129,0.13,06_100億以上~500億未満
3670,協立情報通信,東S,1641,+1.0(+0.06%),"1,978",20,0.02,07_100億未満
3671,ソフトマックス,東S,284,-4.0(-1.39%),"6,830",68,0.07,07_100億未満
3672,オルトプラス,東S,28,+0.0(+0.00%),"2,473",25,0.02,07_100億未満
3673,ブロードリーフ,東P,860,-28.0(-3.15%),"84,191",842,0.84,05_500億以上~1000億未満
3674,オークファン,東G,325,+1.0(+0.31%),"3,514",35,0.04,07_100億未満
3675,クロス・マーケティンググループ,東S,561,-9.0(-1.58%),"11,203",112,0.11,06_100億以上~500億未満
3676,デジタルハーツＨＬＤＧ,東P,722,-5.0(-0.69%),"17,249",172,0.17,06_100億以上~500億未満
3678,メディアドゥ,東P,1304,+5.0(+0.38%),"19,828",198,0.20,06_100億以上~500億未満
3679,じげん,東P,382,-5.0(-1.29%),"42,020",420,0.42,06_100億以上~500億未満
367A,プリモグローバルＨＬＤＧ,東S,2660,+22.0(+0.83%),"23,267",233,0.23,06_100億以上~500億未満
3680,ホットリンク,東G,231,-9.0(-3.75%),"3,688",37,0.04,07_100億未満
3681,ブイキューブ,東P,22,-1.0(-4.35%),580,6,0.01,07_100億未満
3682,エンカレッジ・テクノロジ,東S,577,+7.0(+1.23%),"3,995",40,0.04,07_100億未満
3683,サイバーリンクス,東S,1051,-8.0(-0.76%),"12,062",121,0.12,06_100億以上~500億未満
3686,ディー・エル・イー,東S,85,+0.0(+0.00%),"3,693",37,0.04,07_100億未満
3687,フィックスターズ,東P,3200,+243.0(+8.22%),"107,632","1,076",1.08,04_1000億以上~5000億未満
368A,北里,東P,1208,+6.0(+0.50%),"48,320",483,0.48,06_100億以上~500億未満
3690,イルグルム,東S,512,-6.0(-1.16%),"3,263",33,0.03,07_100億未満
3691,デジタルプラス,東G,1334,-265.0(-16.57%),"5,949",59,0.06,07_100億未満
3692,ＦＦＲＩセキュリティ,東G,5030,-10.0(-0.20%),"41,196",412,0.41,06_100億以上~500億未満
3694,オプティム,東P,482,+28.0(+6.17%),"26,316",263,0.26,06_100億以上~500億未満
3695,ＧＭＯプロダクトプラットフォー,東G,1658,+0.0(+0.00%),"7,372",74,0.07,07_100億未満
3696,セレス,東P,1731,-52.0(-2.92%),"21,096",211,0.21,06_100億以上~500億未満
3697,ＳＨＩＦＴ,東P,692.6,-2.1(-0.30%),"185,271","1,853",1.85,04_1000億以上~5000億未満
3698,ＣＲＩ・ミドルウェア,東S,1038,-15.0(-1.42%),"5,790",58,0.06,07_100億未満
369A,エータイ,東G,2024,-64.0(-3.07%),"8,588",86,0.09,07_100億未満
3708,特種東海製紙,東P,1737,-1.0(-0.06%),"67,743",677,0.68,05_500億以上~1000億未満
3710,ジョルダン,東S,610,-2.0(-0.33%),"3,206",32,0.03,07_100億未満
3712,情報企画,東S,950,+0.0(+0.00%),"19,428",194,0.19,06_100億以上~500億未満
3719,ＡＩストーム,東S,211,-14.0(-6.22%),"7,938",79,0.08,07_100億未満
3723,日本ファルコム,東G,2276,-4.0(-0.18%),"23,397",234,0.23,06_100億以上~500億未満
3726,フォーシーズＨＤ,東S,323,-4.0(-1.22%),"4,246",42,0.04,07_100億未満
3727,アプリックス,東G,137,-1.0(-0.72%),"5,992",60,0.06,07_100億未満
372A,レント,東S,4775,-90.0(-1.85%),"18,556",186,0.19,06_100億以上~500億未満
3733,ソフトウェア・サービス,東S,11040,+400.0(+3.76%),"60,588",606,0.61,05_500億以上~1000億未満
373A,リップス,東G,1506,+6.0(+0.40%),"3,897",39,0.04,07_100億未満
3741,セック,東P,3750,-165.0(-4.21%),"38,400",384,0.38,06_100億以上~500億未満
3744,サイオス,東S,515,-11.0(-2.09%),"4,570",46,0.05,07_100億未満
3747,インタートレード,東S,420,-40.0(-8.70%),"3,127",31,0.03,07_100億未満
3750,ＡＤＲ１２０Ｓ,東S,798,+7.0(+0.88%),"7,126",71,0.07,07_100億未満
3753,フライトソリューションズ,東S,151,-12.0(-7.36%),"2,217",22,0.02,07_100億未満
3758,アエリア,東S,226,-4.0(-1.74%),"4,802",48,0.05,07_100億未満
3760,ケイブ,東S,607,-13.0(-2.10%),"4,151",42,0.04,07_100億未満
3762,テクマトリックス,東P,1849,-38.0(-2.01%),"82,315",823,0.82,05_500億以上~1000億未満
3763,プロシップ,東P,1644,+23.0(+1.42%),"52,514",525,0.53,05_500億以上~1000億未満
3765,ガンホー・オンライン,東P,2183,-57.0(-2.54%),"150,979","1,510",1.51,04_1000億以上~5000億未満
3766,システムズ・デザイン,東S,1232,-23.0(-1.83%),"4,312",43,0.04,07_100億未満
3768,リスクモンスター,東S,540,-1.0(-0.18%),"4,124",41,0.04,07_100億未満
3769,ＧＭＯペイメントゲートウェイ,東P,7900,-600.0(-7.06%),"604,805","6,048",6.05,03_5000億以上~1兆未満
3771,システムリサーチ,東P,1747,-6.0(-0.34%),"29,210",292,0.29,06_100億以上~500億未満
3772,ウェルス・マネジメント,東S,1056,-7.0(-0.66%),"20,254",203,0.20,06_100億以上~500億未満
3773,アドバンスト・メディア,東G,1076,+5.0(+0.47%),"19,791",198,0.20,06_100億以上~500億未満
3774,インターネットイニシアティブ,東P,3201,-49.0(-1.51%),"587,292","5,873",5.87,03_5000億以上~1兆未満
3776,ブロードバンドタワー,東S,266,+9.0(+3.50%),"16,467",165,0.16,06_100億以上~500億未満
3777,環境フレンドリーＨＬＤＧ,東G,51,-1.0(-1.92%),"16,491",165,0.16,06_100億以上~500億未満
3778,さくらインターネット,東P,2925,-14.0(-0.48%),"122,530","1,225",1.23,04_1000億以上~5000億未満
3779,ジェイ・エスコムＨＬＤＧ,東S,143,-2.0(-1.38%),"1,654",17,0.02,07_100億未満
3787,テクノマセマティカル,東S,258,-80.0(-23.67%),669,7,0.01,07_100億未満
3788,ＧＭＯグローバルサイン・ＨＬＤ,東P,1906,-15.0(-0.78%),"22,287",223,0.22,06_100億以上~500億未満
378A,ヒット,東G,1935,-29.0(-1.48%),"13,787",138,0.14,06_100億以上~500億未満
3791,ＩＧポート,東S,1201,-11.0(-0.91%),"24,286",243,0.24,06_100億以上~500億未満
3793,ドリコム,東G,406,-1.0(-0.25%),"11,955",120,0.12,06_100億以上~500億未満
3796,いい生活,東S,266,-7.0(-2.56%),"3,873",39,0.04,07_100億未満
3798,ＵＬＳグループ,東S,517,-10.0(-1.90%),"33,013",330,0.33,06_100億以上~500億未満
3799,キーウェアソリューションズ,東S,969,-10.0(-1.02%),"8,828",88,0.09,07_100億未満
3800,ユニリタ,東S,1954,+2.0(+0.10%),"15,632",156,0.16,06_100億以上~500億未満
3802,エコミック,東S,465,+2.0(+0.43%),"2,182",22,0.02,07_100億未満
3803,イメージ情報開発,東G,584,-6.0(-1.02%),"1,975",20,0.02,07_100億未満
3804,システム　ディ,東S,458,-4.0(-0.87%),"8,928",89,0.09,07_100億未満
3807,フィスコ,東G,98,+1.0(+1.03%),"4,499",45,0.04,07_100億未満
3810,サイバーステップ　ＨＬＤＧ,東S,169,-9.0(-5.06%),"13,843",138,0.14,06_100億以上~500億未満
3815,メディア工房,東G,438,-5.0(-1.13%),"4,949",49,0.05,07_100億未満
3816,大和コンピューター,東S,1145,+9.0(+0.79%),"4,522",45,0.05,07_100億未満
3817,ＳＲＡ　ＨＬＤＧ,東P,4490,-10.0(-0.22%),"68,428",684,0.68,05_500億以上~1000億未満
3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ,東S,32,-3.0(-8.57%),"4,688",47,0.05,07_100億未満
3825,リミックスポイント,東S,160,-6.0(-3.61%),"23,847",238,0.24,06_100億以上~500億未満
3826,システムインテグレータ,東S,442,+2.0(+0.45%),"4,897",49,0.05,07_100億未満
3834,朝日ネット,東P,597,+3.0(+0.51%),"19,104",191,0.19,06_100億以上~500億未満
3835,ｅＢＡＳＥ,東P,388,-5.0(-1.27%),"18,300",183,0.18,06_100億以上~500億未満
3836,アバントグループ,東P,1108,-12.0(-1.07%),"39,899",399,0.40,06_100億以上~500億未満
3837,アドソル日進,東P,1350,-21.0(-1.53%),"23,341",233,0.23,06_100億以上~500億未満
3839,ＯＤＫソリューションズ,東S,621,+0.0(+0.00%),"5,092",51,0.05,07_100億未満
3840,パス,東S,54,-2.0(-3.57%),"4,465",45,0.04,07_100億未満
3841,ジーダット,東S,1187,-1.0(-0.08%),"4,641",46,0.05,07_100億未満
3842,ネクストジェン,東S,970,-12.0(-1.22%),"3,000",30,0.03,07_100億未満
3843,フリービット,東P,1403,-33.0(-2.30%),"32,850",329,0.33,06_100億以上~500億未満
3844,コムチュア,東P,1317,-16.0(-1.20%),"42,462",425,0.42,06_100億以上~500億未満
3845,アイフリークモバイル,東S,240,-1.0(-0.41%),"5,338",53,0.05,07_100億未満
3848,データ・アプリケーション,東S,876,-15.0(-1.68%),"6,495",65,0.06,07_100億未満
3850,エヌ・ティ・ティ・データ・イン,東S,2622,-46.0(-1.72%),"12,992",130,0.13,06_100億以上~500億未満
3851,日本一ソフトウェア,東S,823,-2.0(-0.24%),"4,239",42,0.04,07_100億未満
3853,アステリア,東P,1987,-239.0(-10.74%),"34,755",348,0.35,06_100億以上~500億未満
3854,アイル,東P,2475,-128.0(-4.92%),"61,980",620,0.62,05_500億以上~1000億未満
3856,Ａｂａｌａｎｃｅ,東S,501,-6.0(-1.18%),"9,536",95,0.10,07_100億未満
3858,ユビキタスＡＩ,東S,368,-8.0(-2.13%),"3,849",38,0.04,07_100億未満
