コード,銘柄名,市場,時価総額(百万円),時価総額(億円),時価総額(兆円),ランクCD,ランク
3856,Abalance,東S,9536,95.36,0,7,07_100億未満
3858,ユビキタスAI,東S,3849,38.49,0,7,07_100億未満
3861,王子HLDG,東P,707732,7077.32,1,3,03_5000億以上_1兆未満
3863,日本製紙,東P,138111,1381.11,0,4,04_1000億以上_5000億未満
3864,三菱製紙,東P,46531,465.31,0,6,06_100億以上_500億未満
3865,北越コーポレーション,東P,147074,1470.74,0,4,04_1000億以上_5000億未満
386A,ミノヤ,東S,4834,48.34,0,7,07_100億未満
3877,中越パルプ工業,東P,26335,263.35,0,6,06_100億以上_500億未満
3878,巴川,東S,8634,86.34,0,7,07_100億未満
387A,フラー,東G,1478,14.78,0,7,07_100億未満
3880,大王製紙,東P,151267,1512.67,0,4,04_1000億以上_5000億未満
3891,ニッポン高度紙工業,東S,89546,895.46,0,5,05_500億以上_1000億未満
3892,岡山製紙,東S,9757,97.57,0,7,07_100億未満
3895,ハビックス,東S,3385,33.85,0,7,07_100億未満
3896,阿波製紙,東S,4039,40.39,0,7,07_100億未満
3900,クラウドワークス,東G,9324,93.24,0,7,07_100億未満
3901,マークラインズ,東P,16721,167.21,0,6,06_100億以上_500億未満
3903,gumi,東P,14498,144.98,0,6,06_100億以上_500億未満
3904,カヤック,東G,6379,63.79,0,7,07_100億未満
3905,データセクション,東G,181562,1815.62,0,4,04_1000億以上_5000億未満
3907,シリコンスタジオ,東S,3589,35.89,0,7,07_100億未満
3908,コラボス,東S,1498,14.98,0,7,07_100億未満
3909,ショーケース,東S,2017,20.17,0,7,07_100億未満
3910,エムケイシステム,東S,1498,14.98,0,7,07_100億未満
3911,Aiming,東G,7846,78.46,0,7,07_100億未満
3912,モバイルファクトリー,東S,8607,86.07,0,7,07_100億未満
3913,GreenBee,東S,2257,22.57,0,7,07_100億未満
3914,JIGーSAW,東G,16607,166.07,0,6,06_100億以上_500億未満
3915,テラスカイ,東P,45021,450.21,0,6,06_100億以上_500億未満
3916,デジタル･インフォメーション,東P,25609,256.09,0,6,06_100億以上_500億未満
3917,アイリッジ,東G,3390,33.9,0,7,07_100億未満
3918,PCI HLDG,東S,11884,118.84,0,6,06_100億以上_500億未満
3920,アイビーシー,東S,5734,57.34,0,7,07_100億未満
3921,ネオジャパン,東P,21610,216.1,0,6,06_100億以上_500億未満
3922,PR TIMES,東P,29281,292.81,0,6,06_100億以上_500億未満
3923,ラクス,東P,342519,3425.19,0,4,04_1000億以上_5000億未満
3925,ダブルスタンダード,東P,15780,157.8,0,6,06_100億以上_500億未満
3926,オープンドア,東S,8003,80.03,0,7,07_100億未満
3927,フーバーブレイン,東S,5201,52.01,0,7,07_100億未満
3928,マイネット,東S,2108,21.08,0,7,07_100億未満
3929,ソーシャルワイヤー,東G,3471,34.71,0,7,07_100億未満
3930,ハテナ,東G,2795,27.95,0,7,07_100億未満
3931,バリューゴルフ,東G,3249,32.49,0,7,07_100億未満
3932,アカツキ,東P,43632,436.32,0,6,06_100億以上_500億未満
3933,チエル,東S,3479,34.79,0,7,07_100億未満
3934,ベネフィットジャパン,東S,13901,139.01,0,6,06_100億以上_500億未満
3935,エディア,東S,3924,39.24,0,7,07_100億未満
3936,グローバルウェイ,東G,6504,65.04,0,7,07_100億未満
3937,Ubicom HLDG,東S,11686,116.86,0,6,06_100億以上_500億未満
3939,カナミックネットワーク,東P,23151,231.51,0,6,06_100億以上_500億未満
3940,ノムラシステムコーポレーション,東S,5510,55.1,0,7,07_100億未満
3941,レンゴー,東P,373786,3737.86,0,4,04_1000億以上_5000億未満
3943,大石産業,東S,11203,112.03,0,6,06_100億以上_500億未満
3944,古林紙工,東S,4145,41.45,0,7,07_100億未満
3945,スーパーバッグ,東S,3622,36.22,0,7,07_100億未満
3946,トーモク,東P,71274,712.74,0,5,05_500億以上_1000億未満
3947,ダイナパック,東S,20439,204.39,0,6,06_100億以上_500億未満
3948,光ビジネスフォーム,東S,6670,66.7,0,7,07_100億未満
3950,ザ･パック,東P,73252,732.52,0,5,05_500億以上_1000億未満
3951,朝日印刷,東S,19251,192.51,0,6,06_100億以上_500億未満
3953,大村紙業,東S,2629,26.29,0,7,07_100億未満
3954,昭和パックス,東S,12647,126.47,0,6,06_100億以上_500億未満
3955,イムラ,東S,8551,85.51,0,7,07_100億未満
3958,笹徳印刷,東S,3445,34.45,0,7,07_100億未満
3962,チェンジHLDG,東P,66467,664.67,0,5,05_500億以上_1000億未満
3963,シンクロ･フード,東P,9057,90.57,0,7,07_100億未満
3964,オークネット,東P,131208,1312.08,0,4,04_1000億以上_5000億未満
3965,キャピタル･アセット･プランニ,東S,4578,45.78,0,7,07_100億未満
3967,エルテス,東G,3577,35.77,0,7,07_100億未満
3968,セグエグループ,東P,20477,204.77,0,6,06_100億以上_500億未満
3969,エイトレッド,東S,9891,98.91,0,7,07_100億未満
3970,イノベーション,東S,2237,22.37,0,7,07_100億未満
3974,SCAT,東S,2803,28.03,0,7,07_100億未満
3976,シャノン,東G,2756,27.56,0,7,07_100億未満
3979,ウルル,東G,10831,108.31,0,6,06_100億以上_500億未満
3981,ビーグリー,東S,7739,77.39,0,7,07_100億未満
3983,オロ,東P,31731,317.31,0,6,06_100億以上_500億未満
3984,ユーザーローカル,東P,29204,292.04,0,6,06_100億以上_500億未満
3985,テモナ,東S,1967,19.67,0,7,07_100億未満
3986,ビーブレイクシステムズ,東S,2490,24.9,0,7,07_100億未満
3987,エコモット,東G,2799,27.99,0,7,07_100億未満
3988,SYS HLDG,東S,5762,57.62,0,7,07_100億未満
3989,シェアリングテクノロジー,東G,24112,241.12,0,6,06_100億以上_500億未満
3991,ウォンテッドリー,東G,8471,84.71,0,7,07_100億未満
3992,ニーズウェル,東P,16280,162.8,0,6,06_100億以上_500億未満
3993,PKSHA Technolog,東P,89806,898.06,0,5,05_500億以上_1000億未満
3994,マネーフォワード,東P,229269,2292.69,0,4,04_1000億以上_5000億未満
3996,サインポスト,東S,2330,23.3,0,7,07_100億未満
3997,トレードワークス,東S,15965,159.65,0,6,06_100億以上_500億未満
3998,スララネット,東G,2069,20.69,0,7,07_100億未満
4004,レゾナック･HLDG,東P,3302337,33023.37,3,2,02_1兆以上_10兆未満
4005,住友化学,東P,985796,9857.96,1,3,03_5000億以上_1兆未満
4008,住友精化,東P,82342,823.42,0,5,05_500億以上_1000億未満
4011,ヘッドウォータース,東G,14228,142.28,0,6,06_100億以上_500億未満
4012,アクシス,東S,7079,70.79,0,7,07_100億未満
4013,勤次郎,東G,13213,132.13,0,6,06_100億以上_500億未満
4014,カラダノート,東G,2853,28.53,0,7,07_100億未満
4015,ペイクラウドHLDG,東G,7529,75.29,0,7,07_100億未満
4016,MIT HLDG,東S,1900,19,0,7,07_100億未満
4017,クリーマ,東G,1423,14.23,0,7,07_100億未満
4019,スタメン,東G,5348,53.48,0,7,07_100億未満
4020,ビートレンド,東G,1481,14.81,0,7,07_100億未満
4021,日産化学,東P,1002508,10025.08,1,2,02_1兆以上_10兆未満
4022,ラサ工業,東P,98190,981.9,0,5,05_500億以上_1000億未満
4023,クレハ,東P,195774,1957.74,0,4,04_1000億以上_5000億未満
4025,多木化学,東P,50604,506.04,0,5,05_500億以上_1000億未満
4026,神島化学工業,東S,17454,174.54,0,6,06_100億以上_500億未満
4027,テイカ,東P,53711,537.11,0,5,05_500億以上_1000億未満
4028,石原産業,東P,132661,1326.61,0,4,04_1000億以上_5000億未満
402A,アクセルスペースHLDG,東G,45975,459.75,0,6,06_100億以上_500億未満
4031,片倉コープアグリ,東S,11198,111.98,0,6,06_100億以上_500億未満
4040,南海化学,東S,9007,90.07,0,7,07_100億未満
4041,日本曹達,東P,194637,1946.37,0,4,04_1000億以上_5000億未満
4042,東ソー,東P,931357,9313.57,1,3,03_5000億以上_1兆未満
4043,トクヤマ,東P,404920,4049.2,0,4,04_1000億以上_5000億未満
4044,セントラル硝子,東P,104130,1041.3,0,4,04_1000億以上_5000億未満
4045,東亞合成,東P,188352,1883.52,0,4,04_1000億以上_5000億未満
4046,大阪ソーダ,東P,239653,2396.53,0,4,04_1000億以上_5000億未満
4047,関東電化工業,東P,253490,2534.9,0,4,04_1000億以上_5000億未満
4051,GMO フィナンシャルゲート,東P,48202,482.02,0,6,06_100億以上_500億未満
4052,フィーチャ,東G,1505,15.05,0,7,07_100億未満
4053,Sun Asterisk,東P,17653,176.53,0,6,06_100億以上_500億未満
4054,日本情報クリエイト,東G,7375,73.75,0,7,07_100億未満
4055,ティアンドエスグループ,東G,15190,151.9,0,6,06_100億以上_500億未満
4056,ニューラルグループ,東G,3816,38.16,0,7,07_100億未満
4057,インターファクトリー,東G,1456,14.56,0,7,07_100億未満
4058,トヨクモ,東G,22005,220.05,0,6,06_100億以上_500億未満
4059,マグマグ,東S,1102,11.02,0,7,07_100億未満
4060,rakumo,東G,6401,64.01,0,7,07_100億未満
4061,デンカ,東P,373706,3737.06,0,4,04_1000億以上_5000億未満
4062,イビデン,東P,5678089,56780.89,6,2,02_1兆以上_10兆未満
4063,信越化学工業,東P,15167354,151673.54,15,1,01_10兆以上
4064,日本カーバイド工業,東P,30896,308.96,0,6,06_100億以上_500億未満
4068,ベイシス,東G,3328,33.28,0,7,07_100億未満
4069,BlueMeme,東G,3719,37.19,0,7,07_100億未満
4071,プラスアルファコンサルティング,東P,111064,1110.64,0,4,04_1000億以上_5000億未満
4072,電算システムHLDG,東P,31689,316.89,0,6,06_100億以上_500億未満
4073,ジィ･シィ企画,東G,1097,10.97,0,7,07_100億未満
4074,ラキール,東G,5563,55.63,0,7,07_100億未満
4075,ブレインズテクノロジー,東G,6336,63.36,0,7,07_100億未満
4076,シイエヌエス,東G,4740,47.4,0,7,07_100億未満
4078,堺化学工業,東P,82560,825.6,0,5,05_500億以上_1000億未満
407A,UNICON HLDG,東S,8678,86.78,0,7,07_100億未満
4082,第一稀元素化学工業,東P,51362,513.62,0,5,05_500億以上_1000億未満
4088,エア･ウォーター,東P,571631,5716.31,1,3,03_5000億以上_1兆未満
4091,日本酸素HD,東P,2433982,24339.82,2,2,02_1兆以上_10兆未満
4092,日本化学工業,東P,46309,463.09,0,6,06_100億以上_500億未満
4093,東邦アセチレン,東S,13693,136.93,0,6,06_100億以上_500億未満
4094,日本化学産業,東S,41290,412.9,0,6,06_100億以上_500億未満
4095,日本パーカライジング,東P,216145,2161.45,0,4,04_1000億以上_5000億未満
4097,高圧ガス工業,東P,60746,607.46,0,5,05_500億以上_1000億未満
4098,チタン工業,東S,3427,34.27,0,7,07_100億未満
4099,四国化成HLDG,東P,281332,2813.32,0,4,04_1000億以上_5000億未満
409A,オリオンビール,東P,48046,480.46,0,6,06_100億以上_500億未満
4100,戸田工業,東S,10728,107.28,0,6,06_100億以上_500億未満
4102,丸尾カルシウム,東S,3356,33.56,0,7,07_100億未満
4107,伊勢化学工業,東S,205919,2059.19,0,4,04_1000億以上_5000億未満
4109,ステラ ケミファ,東P,99894,998.94,0,5,05_500億以上_1000億未満
410A,GMO コマース,東G,5754,57.54,0,7,07_100億未満
4112,保土谷化学工業,東P,38266,382.66,0,6,06_100億以上_500億未満
4113,田岡化学工業,東S,10224,102.24,0,6,06_100億以上_500億未満
4114,日本触媒,東P,306900,3069,0,4,04_1000億以上_5000億未満
4116,大日精化工業,東P,72525,725.25,0,5,05_500億以上_1000億未満
4118,カネカ,東P,347256,3472.56,0,4,04_1000億以上_5000億未満
4119,日本ピグメントHLDG,東S,7895,78.95,0,7,07_100億未満
4120,スガイ化学工業,東S,3432,34.32,0,7,07_100億未満
4124,大阪油化工業,東S,2167,21.67,0,7,07_100億未満
4125,三和油化工業,東S,10948,109.48,0,6,06_100億以上_500億未満
414A,オーバーラップHLDG,東G,18000,180,0,6,06_100億以上_500億未満
4151,協和キリン,東P,1208697,12086.97,1,2,02_1兆以上_10兆未満
415A,GMO TECH HLDG,東G,7567,75.67,0,7,07_100億未満
4165,プレイド,東G,26366,263.66,0,6,06_100億以上_500億未満
4166,カッコ,東G,1815,18.15,0,7,07_100億未満
4167,ココペリ,東G,2217,22.17,0,7,07_100億未満
4168,ヤプリ,東G,9624,96.24,0,7,07_100億未満
4169,ENECHANGE,東G,8361,83.61,0,7,07_100億未満
416A,富士ユナイトHLDG,東S,7488,74.88,0,7,07_100億未満
4170,Kaizen Platform,東G,2217,22.17,0,7,07_100億未満
4171,グローバルインフォメーション,東S,4976,49.76,0,7,07_100億未満
4172,Hiクラテス,東S,4848,48.48,0,7,07_100億未満
4174,アピリッツ,東S,2585,25.85,0,7,07_100億未満
4175,coly,東G,11776,117.76,0,6,06_100億以上_500億未満
4176,ココナラ,東G,5918,59.18,0,7,07_100億未満
4177,I−PLUG,東G,5645,56.45,0,7,07_100億未満
4178,Sharing Innovat,東G,2007,20.07,0,7,07_100億未満
4179,ジーネクスト,東G,2162,21.62,0,7,07_100億未満
417A,ブルーゾーン HLDG,東P,360395,3603.95,0,4,04_1000億以上_5000億未満
4180,Appier Group,東P,96257,962.57,0,5,05_500億以上_1000億未満
4182,三菱瓦斯化学,東P,1117070,11170.7,1,2,02_1兆以上_10兆未満
4183,三井化学,東P,848766,8487.66,1,3,03_5000億以上_1兆未満
4186,東京応化工業,東P,1346373,13463.73,1,2,02_1兆以上_10兆未満
4187,大阪有機化学工業,東P,135357,1353.57,0,4,04_1000億以上_5000億未満
4188,三菱ケミカルグループ,東P,1578406,15784.06,2,2,02_1兆以上_10兆未満
4189,KHネオケム,東P,99375,993.75,0,5,05_500億以上_1000億未満
4192,スパイダープラス,東G,9804,98.04,0,7,07_100億未満
4193,ファブリカHLDG,東S,12281,122.81,0,6,06_100億以上_500億未満
4194,ビジョナル,東P,315425,3154.25,0,4,04_1000億以上_5000億未満
4196,ネオマーケティング,東S,3908,39.08,0,7,07_100億未満
4197,アスマーク,東S,2651,26.51,0,7,07_100億未満
4198,テンダ,東S,3424,34.24,0,7,07_100億未満
4199,ワンダープラネット,東G,1941,19.41,0,7,07_100億未満
4202,ダイセル,東P,327350,3273.5,0,4,04_1000億以上_5000億未満
4203,住友ベークライト,東P,585891,5858.91,1,3,03_5000億以上_1兆未満
4204,積水化学工業,東P,962472,9624.72,1,3,03_5000億以上_1兆未満
4205,日本ゼオン,東P,452820,4528.2,0,4,04_1000億以上_5000億未満
4206,アイカ工業,東P,230957,2309.57,0,4,04_1000億以上_5000億未満
4208,UBE,東P,312334,3123.34,0,4,04_1000億以上_5000億未満
4212,積水樹脂,東P,66777,667.77,0,5,05_500億以上_1000億未満
4216,旭有機材,東P,132465,1324.65,0,4,04_1000億以上_5000億未満
4218,ニチバン,東P,37163,371.63,0,6,06_100億以上_500億未満
421A,ムービン･ストラテジック･キャ,東G,25166,251.66,0,6,06_100億以上_500億未満
4220,リケンテクノス,東P,80707,807.07,0,5,05_500億以上_1000億未満
4221,大倉工業,東P,60150,601.5,0,5,05_500億以上_1000億未満
4222,児玉化学工業,東S,10899,108.99,0,6,06_100億以上_500億未満
4224,ロンシール工業,東S,9260,92.6,0,7,07_100億未満
4228,積水化成品工業,東P,25562,255.62,0,6,06_100億以上_500億未満
4229,群栄化学工業,東P,42742,427.42,0,6,06_100億以上_500億未満
4231,タイガースポリマー,東S,19367,193.67,0,6,06_100億以上_500億未満
4234,サンエー化研,東S,7539,75.39,0,7,07_100億未満
4235,ウルトラファブリックスHLDG,東S,11418,114.18,0,6,06_100億以上_500億未満
4237,フジプレアム,東S,9949,99.49,0,7,07_100億未満
4238,ミライアル,東S,15909,159.09,0,6,06_100億以上_500億未満
423A,ライオン事務器,東S,9995,99.95,0,7,07_100億未満
4240,クラスターテクノロジー,東S,1856,18.56,0,7,07_100億未満
4241,アテクト,東S,3017,30.17,0,7,07_100億未満
4242,タカギセイコー,東S,4764,47.64,0,7,07_100億未満
4243,ニックス,東S,2033,20.33,0,7,07_100億未満
4245,ダイキアクシス,東S,9010,90.1,0,7,07_100億未満
4246,ダイキョーニシカワ,東P,73696,736.96,0,5,05_500億以上_1000億未満
4247,ポバール興業,東S,3280,32.8,0,7,07_100億未満
4248,竹本容器,東S,10850,108.5,0,6,06_100億以上_500億未満
4249,森六,東P,33273,332.73,0,6,06_100億以上_500億未満
4251,恵和,東P,24068,240.68,0,6,06_100億以上_500億未満
4255,THECOO,東G,4881,48.81,0,7,07_100億未満
4256,サインド,東G,6024,60.24,0,7,07_100億未満
4258,網屋,東G,31215,312.15,0,6,06_100億以上_500億未満
4259,エクサウィザーズ,東G,103310,1033.1,0,4,04_1000億以上_5000億未満
4260,ハイブリッドテクノロジーズ,東G,2919,29.19,0,7,07_100億未満
4261,アジアクエスト,東G,5098,50.98,0,7,07_100億未満
4262,ニフティライフスタイル,東G,8676,86.76,0,7,07_100億未満
4263,サスメド,東G,10357,103.57,0,6,06_100億以上_500億未満
4264,セキュア,東G,9756,97.56,0,7,07_100億未満
4265,Institution for,東G,1111,11.11,0,7,07_100億未満
4270,BeeX,東G,5282,52.82,0,7,07_100億未満
4272,日本化薬,東P,307289,3072.89,0,4,04_1000億以上_5000億未満
4274,細谷火工,東S,4355,43.55,0,7,07_100億未満
4275,カーリット,東P,52259,522.59,0,5,05_500億以上_1000億未満
4284,ソルクシーズ,東S,10996,109.96,0,6,06_100億以上_500億未満
4286,CLHLDG,東S,12223,122.23,0,6,06_100億以上_500億未満
4287,ジャストプランニング,東S,5858,58.58,0,7,07_100億未満
4288,アズジェント,東S,1435,14.35,0,7,07_100億未満
428A,サイプレス･HLDG,東S,14822,148.22,0,6,06_100億以上_500億未満
4290,プレステージ･インターナショナ,東P,81011,810.11,0,5,05_500億以上_1000億未満
4293,セプテーニHLDG,東S,103379,1033.79,0,4,04_1000億以上_5000億未満
4299,ハイマックス,東S,12397,123.97,0,6,06_100億以上_500億未満
429A,テクセンドフォトマスク,東P,415207,4152.07,0,4,04_1000億以上_5000億未満
4301,アミューズ,東P,33224,332.24,0,6,06_100億以上_500億未満
4307,野村総合研究所,東P,2756828,27568.28,3,2,02_1兆以上_10兆未満
4308,Jストリーム,東G,9680,96.8,0,7,07_100億未満
4310,ドリームインキュベータ,東P,26772,267.72,0,6,06_100億以上_500億未満
4316,ビーマップ,東G,502,5.02,0.000502,7,07_100億未満
4317,レイ,東S,6620,66.2,0,7,07_100億未満
4318,クイック,東P,40152,401.52,0,6,06_100億以上_500億未満
431A,ユーソナー,東G,18347,183.47,0,6,06_100億以上_500億未満
4320,CE HLDG,東S,28916,289.16,0,6,06_100億以上_500億未満
4323,日本システム技術,東P,41676,416.76,0,6,06_100億以上_500億未満
4324,電通グループ,東P,817335,8173.35,1,3,03_5000億以上_1兆未満
4326,インテージHLDG,東P,68199,681.99,0,5,05_500億以上_1000億未満
4331,テイクアンドギヴ･ニーズ,東P,9810,98.1,0,7,07_100億未満
4334,ユークス,東S,4361,43.61,0,7,07_100億未満
4335,IPS HLDG,東S,2994,29.94,0,7,07_100億未満
4337,ピア,東P,42149,421.49,0,6,06_100億以上_500億未満
4341,西菱電機,東S,3024,30.24,0,7,07_100億未満
4343,イオンファンタジー,東P,47996,479.96,0,6,06_100億以上_500億未満
4344,ソースネクスト,東P,15442,154.42,0,6,06_100億以上_500億未満
4345,シーティーエス,東P,33936,339.36,0,6,06_100億以上_500億未満
4346,NEXYZ.Group,東S,9551,95.51,0,7,07_100億未満
4347,ブロードメディア,東S,12262,122.62,0,6,06_100億以上_500億未満
4350,メディカルシステムネットワーク,東S,15107,151.07,0,6,06_100億以上_500億未満
4351,山田再生系債権回収総合事務所,東S,4174,41.74,0,7,07_100億未満
4356,応用技術,東S,9427,94.27,0,7,07_100億未満
4360,マナック･ケミカル･パートナー,東S,6486,64.86,0,7,07_100億未満
4361,川口化学工業,東S,1718,17.18,0,7,07_100億未満
4362,日本精化,東P,57436,574.36,0,5,05_500億以上_1000億未満
4365,松本油脂製薬,東S,91156,911.56,0,5,05_500億以上_1000億未満
4366,ダイトーケミックス,東S,17539,175.39,0,6,06_100億以上_500億未満
4367,広栄化学,東S,14308,143.08,0,6,06_100億以上_500億未満
4368,扶桑化学工業,東P,448504,4485.04,0,4,04_1000億以上_5000億未満
4369,トリケミカル研究所,東P,133407,1334.07,0,4,04_1000億以上_5000億未満
436A,サイバーソリューションズ,東G,16571,165.71,0,6,06_100億以上_500億未満
4370,モビルス,東G,1875,18.75,0,7,07_100億未満
4371,コアコンセプト･テクノロジー,東G,23211,232.11,0,6,06_100億以上_500億未満
4372,ユミルリンク,東G,4383,43.83,0,7,07_100億未満
4373,シンプレクス･HLDG,東P,256760,2567.6,0,4,04_1000億以上_5000億未満
4374,ROBOT PAYMENT,東G,9280,92.8,0,7,07_100億未満
4375,セーフィー,東G,35995,359.95,0,6,06_100億以上_500億未満
4376,クフウカンパニーHLDG,東G,10271,102.71,0,6,06_100億以上_500億未満
4377,ワンキャリア,東G,34402,344.02,0,6,06_100億以上_500億未満
4378,CINC,東G,1949,19.49,0,7,07_100億未満
4379,Photosynth,東G,6401,64.01,0,7,07_100億未満
4380,Mマート,東G,5527,55.27,0,7,07_100億未満
4381,ビープラッツ,東G,824,8.24,0.000824,7,07_100億未満
4382,HEROZ,東S,10614,106.14,0,6,06_100億以上_500億未満
4385,メルカリ,東P,620044,6200.44,1,3,03_5000億以上_1兆未満
4386,SIGグループ,東S,4873,48.73,0,7,07_100億未満
4387,ZUU,東G,2289,22.89,0,7,07_100億未満
4388,エーアイ,東S,2314,23.14,0,7,07_100億未満
4389,プロパティデータバンク,東G,10323,103.23,0,6,06_100億以上_500億未満
438A,インフキュリオン,東G,15641,156.41,0,6,06_100億以上_500億未満
4390,IPS,東P,50106,501.06,0,5,05_500億以上_1000億未満
4391,ロジザード,東G,3539,35.39,0,7,07_100億未満
4392,FIG,東P,43222,432.22,0,6,06_100億以上_500億未満
4393,バンク･オブ･イノベーション,東G,19595,195.95,0,6,06_100億以上_500億未満
4394,エクスモーション,東G,2396,23.96,0,7,07_100億未満
4395,アクリート,東G,6108,61.08,0,7,07_100億未満
4396,システムサポートHLDG,東P,20821,208.21,0,6,06_100億以上_500億未満
4397,チームスピリット,東G,6228,62.28,0,7,07_100億未満
4398,ブロードバンドセキュリティ,東S,5816,58.16,0,7,07_100億未満
4401,ADEKA,東P,416421,4164.21,0,4,04_1000億以上_5000億未満
4403,日油,東P,634121,6341.21,1,3,03_5000億以上_1兆未満
4404,ミヨシ油脂,東S,19078,190.78,0,6,06_100億以上_500億未満
4406,新日本理化,東S,8464,84.64,0,7,07_100億未満
4409,東邦化学工業,東S,15457,154.57,0,6,06_100億以上_500億未満
4410,ハリマ化成グループ,東P,29862,298.62,0,6,06_100億以上_500億未満
4412,サイエンスアーツ,東G,9234,92.34,0,7,07_100億未満
4413,ボードルア,東P,78443,784.43,0,5,05_500億以上_1000億未満
4414,フレクト,東G,6737,67.37,0,7,07_100億未満
4415,ブロードエンタープライズ,東G,7294,72.94,0,7,07_100億未満
4416,True Data,東G,1999,19.99,0,7,07_100億未満
4417,グローバルセキュリティエキスパ,東G,47154,471.54,0,6,06_100億以上_500億未満
4418,JDSC,東G,10615,106.15,0,6,06_100億以上_500億未満
4419,FinatextHLDG,東G,63524,635.24,0,5,05_500億以上_1000億未満
441A,NE,東G,8464,84.64,0,7,07_100億未満
4420,イーソル,東S,18160,181.6,0,6,06_100億以上_500億未満
4421,ディ･アイ･システム,東S,2723,27.23,0,7,07_100億未満
4422,VALUENEX,東G,5798,57.98,0,7,07_100億未満
4424,Amazia,東G,1358,13.58,0,7,07_100億未満
4425,Kudan,東G,19507,195.07,0,6,06_100億以上_500億未満
4427,EduLab,東G,2117,21.17,0,7,07_100億未満
4428,シノプス,東G,3918,39.18,0,7,07_100億未満
4429,リックソフト,東G,3431,34.31,0,7,07_100億未満
442A,クラシコ,東G,2251,22.51,0,7,07_100億未満
4430,東海ソフト,東S,8266,82.66,0,7,07_100億未満
4431,スマレジ,東G,48388,483.88,0,6,06_100億以上_500億未満
4432,ウイングアーク1st,東P,83629,836.29,0,5,05_500億以上_1000億未満
4433,ヒト･コミュニケーションズHD,東P,14695,146.95,0,6,06_100億以上_500億未満
4434,サーバーワークス,東S,16424,164.24,0,6,06_100億以上_500億未満
4436,ミンカブ･ジ･インフォノイド,東G,6778,67.78,0,7,07_100億未満
4437,gooddays HLDG,東G,6449,64.49,0,7,07_100億未満
4438,Welby,東G,2480,24.8,0,7,07_100億未満
4439,東名,東S,22009,220.09,0,6,06_100億以上_500億未満
4440,ヴィッツ,東S,4514,45.14,0,7,07_100億未満
4441,トビラシステムズ,東S,11882,118.82,0,6,06_100億以上_500億未満
4442,バルテス･HLDG,東G,8794,87.94,0,7,07_100億未満
4443,Sansan,東P,197920,1979.2,0,4,04_1000億以上_5000億未満
4444,インフォネット,東G,1686,16.86,0,7,07_100億未満
4445,リビン･テクノロジーズ,東G,4155,41.55,0,7,07_100億未満
4446,Link−Uグループ,東P,8037,80.37,0,7,07_100億未満
4447,ピー･ビーシステムズ,東G,2897,28.97,0,7,07_100億未満
4448,kubell,東G,13092,130.92,0,6,06_100億以上_500億未満
4449,ギフティ,東P,34676,346.76,0,6,06_100億以上_500億未満
4450,パワーソリューションズ,東G,6023,60.23,0,7,07_100億未満
4452,花王,東P,2652199,26521.99,3,2,02_1兆以上_10兆未満
4461,第一工業製薬,東P,120305,1203.05,0,4,04_1000億以上_5000億未満
4462,石原ケミカル,東P,40839,408.39,0,6,06_100億以上_500億未満
4463,日華化学,東S,30373,303.73,0,6,06_100億以上_500億未満
4464,ソフト99コーポレーション,東S,76848,768.48,0,5,05_500億以上_1000億未満
4465,ニイタカ,東S,12213,122.13,0,6,06_100億以上_500億未満
446A,ノースサンド,東G,92253,922.53,0,5,05_500億以上_1000億未満
4471,三洋化成工業,東P,122851,1228.51,0,4,04_1000億以上_5000億未満
4475,HENNGE,東G,37051,370.51,0,6,06_100億以上_500億未満
4476,AI CROSS,東G,3933,39.33,0,7,07_100億未満
4477,BASE,東G,31959,319.59,0,6,06_100億以上_500億未満
4478,フリー,東G,127545,1275.45,0,4,04_1000億以上_5000億未満
4479,マクアケ,東G,11040,110.4,0,6,06_100億以上_500億未満
4480,メドレー,東P,67212,672.12,0,5,05_500億以上_1000億未満
4481,ベース,東P,56204,562.04,0,5,05_500億以上_1000億未満
4482,ウィルズ,東G,15159,151.59,0,6,06_100億以上_500億未満
4483,JMDC,東P,175053,1750.53,0,4,04_1000億以上_5000億未満
4484,ランサーズ,東G,4224,42.24,0,7,07_100億未満
4486,ユナイトアンドグロウ,東G,5232,52.32,0,7,07_100億未満
4487,スペースマーケット,東G,3135,31.35,0,7,07_100億未満
4488,AI inside,東G,8240,82.4,0,7,07_100億未満
4490,ビザスク,東G,5571,55.71,0,7,07_100億未満
4491,コンピューターマネージメント,東S,5957,59.57,0,7,07_100億未満
4492,ゼネテック,東S,4292,42.92,0,7,07_100億未満
4493,サイバーセキュリティクラウド,東G,18194,181.94,0,6,06_100億以上_500億未満
4494,バリオセキュア,東S,2922,29.22,0,7,07_100億未満
4495,アイキューブドシステムズ,東G,10117,101.17,0,6,06_100億以上_500億未満
4496,コマースOne HLDG,東G,4870,48.7,0,7,07_100億未満
4498,サイバートラスト,東G,18780,187.8,0,6,06_100億以上_500億未満
4499,Speee,東S,31579,315.79,0,6,06_100億以上_500億未満
4502,武田薬品工業,東P,7717621,77176.21,8,2,02_1兆以上_10兆未満
4503,アステラス製薬,東P,3891680,38916.8,4,2,02_1兆以上_10兆未満
4506,住友ファーマ,東P,635400,6354,1,3,03_5000億以上_1兆未満
4507,塩野義製薬,東P,2514545,25145.45,3,2,02_1兆以上_10兆未満
4512,ワカモト製薬,東S,9267,92.67,0,7,07_100億未満
